problems,artist,artist_normalized,title,date,medium,dimensions,categories,file_name,file_url,description_url
,George Peter Alexander Healy,georgehealy, English: The Peacemakers. Français : The Peacemakers.,1868?,oil on canvas,119.7 × 159.1 cm (47.1 × 62.6 in),"The Peacemakers~1868 oil on canvas paintings in the United States~Presidents of the United States together~River Queen (ship, 1864)~Rainbows in paintings",images/ georgehealy_00000031.jpg,http://upload.wikimedia.org/wikipedia/commons/a/a4/The_Peacemakers_1868.jpg,http://commons.wikimedia.org/wiki/File:The_Peacemakers_1868.jpg
,George Peter Alexander Healy,georgehealy, English: The Peacemakers. Français : The Peacemakers.,1868?,oil on canvas,119.7 × 159.1 cm (47.1 × 62.6 in),"The Peacemakers~1868 oil on canvas paintings in the United States~Presidents of the United States together~River Queen (ship, 1864)~Rainbows in paintings",images/ georgehealy_00000032.jpg,http://upload.wikimedia.org/wikipedia/commons/a/a4/The_Peacemakers_1868.jpg,http://commons.wikimedia.org/wiki/File:The_Peacemakers_1868.jpg
,Valentin Alexandrovich Serov,valentinserov, English: Portrait of Pavel Tretyakov Русский: Портрет Павла Михайловича Третьякова,1899,"paper, watercolor, gouache, graphite pencil",Height:  21 cm (8.3 in). Width:  12.2 cm (4.8 in).,Pavel Tretyakov~Male portraits by Valentin Serov~19th-century portraits in the Tretyakov Gallery~19th-century portrait paintings of standing men at three-quarter length~19th-century watercolor portraits of men~1890s portraits of Russia~1899 watercolor paintings~1899 portrait paintings~Men facing right in art~Portrait paintings of bearded men~Portrait paintings of merchants~Posthumous portraits~Watercolor paintings in Russia,images/ valentinserov_00000033.jpg,http://upload.wikimedia.org/wikipedia/commons/7/7f/Pavel_Tretyakov_by_Valentin_Serov_1899.jpg,http://commons.wikimedia.org/wiki/File:Pavel_Tretyakov_by_Valentin_Serov_1899.jpg
,Valentin Alexandrovich Serov,valentinserov, English: Portrait of Pavel Tretyakov Русский: Портрет Павла Михайловича Третьякова,1899,"paper, watercolor, gouache, graphite pencil",Height:  21 cm (8.3 in). Width:  12.2 cm (4.8 in).,Pavel Tretyakov~Male portraits by Valentin Serov~19th-century portraits in the Tretyakov Gallery~19th-century portrait paintings of standing men at three-quarter length~19th-century watercolor portraits of men~1890s portraits of Russia~1899 watercolor paintings~1899 portrait paintings~Men facing right in art~Portrait paintings of bearded men~Portrait paintings of merchants~Posthumous portraits~Watercolor paintings in Russia,images/ valentinserov_00000034.jpg,http://upload.wikimedia.org/wikipedia/commons/7/7f/Pavel_Tretyakov_by_Valentin_Serov_1899.jpg,http://commons.wikimedia.org/wiki/File:Pavel_Tretyakov_by_Valentin_Serov_1899.jpg
,Caspar David Friedrich,casparfriedrich,Chalk Cliffs on Rügen,circa 1818/1819,oil on canvas,90 × 70 cm (35.4 × 27.6 in),1810s paintings by Caspar David Friedrich~Paintings in Museum Oskar Reinhart~Rügen in art~1818 paintings~19th-century oil on canvas paintings~Paintings of people in nature~Baltic Sea in art~Nationalpark Jasmund~Romantic landscape paintings~Cliffs in art,images/ casparfriedrich_00000035.jpg,http://upload.wikimedia.org/wikipedia/commons/5/57/Caspar_David_Friedrich_Chalk_Cliffs_on_R%C3%BCgen.jpg,http://commons.wikimedia.org/wiki/File:Caspar_David_Friedrich_Chalk_Cliffs_on_R%C3%BCgen.jpg
,Caspar David Friedrich,casparfriedrich,Chalk Cliffs on Rügen,circa 1818/1819,oil on canvas,90 × 70 cm (35.4 × 27.6 in),1810s paintings by Caspar David Friedrich~Paintings in Museum Oskar Reinhart~Rügen in art~1818 paintings~19th-century oil on canvas paintings~Paintings of people in nature~Baltic Sea in art~Nationalpark Jasmund~Romantic landscape paintings~Cliffs in art,images/ casparfriedrich_00000036.jpg,http://upload.wikimedia.org/wikipedia/commons/5/57/Caspar_David_Friedrich_Chalk_Cliffs_on_R%C3%BCgen.jpg,http://commons.wikimedia.org/wiki/File:Caspar_David_Friedrich_Chalk_Cliffs_on_R%C3%BCgen.jpg
,Dante Gabriel Rossetti,danterossetti,Paolo and Francesca da Rimini,1867," watercolour, gouache and gum arabic over pencil on 2 sheets of paper English: watercolour, gouache and gum arabic over pencil on 2 sheets of paper",Height:  437 mm (17.2 in). Width:  361 mm (14.21 in).,Paintings by Dante Gabriel Rossetti~Paolo e Francesca~Pre-Raphaelite paintings of Italian Renaissance~Historical drawings of the Middle Ages by Dante Gabriel Rossetti~Pre-Raphaelite paintings of couples~1860s watercolor paintings~Stained glass windows~People at windows in art~Paintings of couples in rooms~Paintings of couples in love~Paintings in the National Gallery of Australia~Gouache paintings~Rose windows,images/ danterossetti_00000037.jpg,http://upload.wikimedia.org/wikipedia/commons/7/7f/Dante_Gabriel_Rossetti_-_Paolo_and_Francesca_da_Rimini_-_Google_Art_Project.jpg,http://commons.wikimedia.org/wiki/File:Dante_Gabriel_Rossetti_-_Paolo_and_Francesca_da_Rimini_-_Google_Art_Project.jpg
,Dante Gabriel Rossetti,danterossetti,Paolo and Francesca da Rimini,1867," watercolour, gouache and gum arabic over pencil on 2 sheets of paper English: watercolour, gouache and gum arabic over pencil on 2 sheets of paper",Height:  437 mm (17.2 in). Width:  361 mm (14.21 in).,Paintings by Dante Gabriel Rossetti~Paolo e Francesca~Pre-Raphaelite paintings of Italian Renaissance~Historical drawings of the Middle Ages by Dante Gabriel Rossetti~Pre-Raphaelite paintings of couples~1860s watercolor paintings~Stained glass windows~People at windows in art~Paintings of couples in rooms~Paintings of couples in love~Paintings in the National Gallery of Australia~Gouache paintings~Rose windows,images/ danterossetti_00000038.jpg,http://upload.wikimedia.org/wikipedia/commons/7/7f/Dante_Gabriel_Rossetti_-_Paolo_and_Francesca_da_Rimini_-_Google_Art_Project.jpg,http://commons.wikimedia.org/wiki/File:Dante_Gabriel_Rossetti_-_Paolo_and_Francesca_da_Rimini_-_Google_Art_Project.jpg
,Hendrik Voogd,hendrikvoogd,Italian Landscape with Umbrella Pines,1807,oil on canvas,101.5 × 138.5 cm (40 × 54.5 in),Romantic landscape paintings~1807 oil on canvas paintings~Dutch 19th-century paintings in the Rijksmuseum Amsterdam~Pinus pinea (illustrations)~Hendrik Voogd~Rijksmuseum Amsterdam - Room 1.12~Pinus pinea in Italy~Italy in art,images/ hendrikvoogd_00000039.jpg,http://upload.wikimedia.org/wikipedia/commons/7/76/Hendrik_Voogd_-_Italian_landscape_with_Umbrella_Pines.jpg,http://commons.wikimedia.org/wiki/File:Hendrik_Voogd_-_Italian_landscape_with_Umbrella_Pines.jpg
,Hendrik Voogd,hendrikvoogd,Italian Landscape with Umbrella Pines,1807,oil on canvas,101.5 × 138.5 cm (40 × 54.5 in),Romantic landscape paintings~1807 oil on canvas paintings~Dutch 19th-century paintings in the Rijksmuseum Amsterdam~Pinus pinea (illustrations)~Hendrik Voogd~Rijksmuseum Amsterdam - Room 1.12~Pinus pinea in Italy~Italy in art,images/ hendrikvoogd_00000040.jpg,http://upload.wikimedia.org/wikipedia/commons/7/76/Hendrik_Voogd_-_Italian_landscape_with_Umbrella_Pines.jpg,http://commons.wikimedia.org/wiki/File:Hendrik_Voogd_-_Italian_landscape_with_Umbrella_Pines.jpg
